Network,acc,std(acc),recall,std(recall)
traincgb-logsig-120,0.971,0.0488,0.969,0.0551
traincgb-logsig-130,0.967,0.0582,0.963,0.0652
traincgb-logsig-90,0.966,0.0572,0.963,0.0648
trainscg-logsig-110,0.966,0.0656,0.96,0.073
trainscg-tansig-110,0.965,0.0611,0.96,0.0683
traincgb-logsig-70,0.967,0.0679,0.959,0.0754
trainscg-logsig-70,0.962,0.0702,0.956,0.0775
traincgb-logsig-80,0.961,0.0609,0.956,0.0782
traincgb-logsig-100,0.962,0.0608,0.955,0.0817
trainscg-logsig-90,0.962,0.0667,0.955,0.0746
trainscg-logsig-80,0.961,0.0681,0.955,0.0807
traincgb-logsig-140,0.961,0.0687,0.955,0.0781
traincgb-logsig-150,0.96,0.0682,0.955,0.0897
traincgb-logsig-160,0.959,0.0711,0.955,0.0804
traincgb-logsig-60,0.962,0.0613,0.954,0.0654
traincgb-logsig-110,0.959,0.0661,0.954,0.0794
trainscg-logsig-130,0.959,0.0661,0.954,0.0793
trainscg-logsig-40,0.96,0.07,0.953,0.0861
trainscg-logsig-60,0.96,0.0669,0.953,0.0822
trainscg-logsig-150,0.958,0.0722,0.953,0.0822
