MaxNumSplits,Tree,Acuracy
30,deviance-4,0.7836
30,deviance-2,0.7808
30,gdi-2,0.7762
30,gdi-4,0.7752
28,gdi-2,0.775
28,gdi-4,0.7734
28,deviance-4,0.7711
26,gdi-4,0.7685
28,deviance-2,0.7671
26,gdi-2,0.7654
24,gdi-4,0.7569
26,deviance-4,0.7568
24,gdi-2,0.7561
26,deviance-2,0.7558
24,deviance-2,0.7523
24,deviance-4,0.7503
22,deviance-4,0.7495
22,deviance-2,0.7488
22,gdi-2,0.7448
22,gdi-4,0.7433
20,deviance-2,0.742
20,gdi-2,0.7412
20,gdi-4,0.7409
20,deviance-4,0.7395
18,gdi-2,0.7313
18,gdi-4,0.7287
18,deviance-2,0.7249
18,deviance-4,0.7242
16,gdi-2,0.7142
16,gdi-4,0.713
16,deviance-2,0.7057
16,deviance-4,0.7046
14,deviance-4,0.6976
14,deviance-2,0.6961
12,deviance-4,0.6913
12,deviance-2,0.6892
14,gdi-4,0.6786
14,gdi-2,0.6751
10,deviance-4,0.671
10,deviance-2,0.6706
12,gdi-2,0.6641
12,gdi-4,0.6639
10,gdi-2,0.6469
10,gdi-4,0.6467
8,deviance-2,0.6464
8,deviance-4,0.6459
8,gdi-2,0.5853
8,gdi-4,0.5821
6,deviance-4,0.58
6,deviance-2,0.5788
6,gdi-2,0.5239
6,gdi-4,0.5166
4,deviance-2,0.4497
4,deviance-4,0.4484
4,gdi-2,0.4014
4,gdi-4,0.4008
2,deviance-2,0.2871
2,deviance-4,0.2869
2,gdi-4,0.2643
2,gdi-2,0.2638
