SVM,acc,std(acc),precision,recall,F1 score
gaussian-20-1000,0.9831,0.02089,0.9554,0.9033,0.91566
polynomial-2-0.1,0.9843,0.02238,0.9766,0.8866,0.91492
gaussian-20-10,0.9835,0.02267,0.9681,0.8858,0.91438
polynomial-2-1000,0.9828,0.02380,0.9739,0.8791,0.90832
polynomial-2-10,0.9835,0.02600,0.9696,0.875,0.902
polynomial-3-10,0.9808,0.0249,0.9566,0.8716,0.89692
polynomial-3-1000,0.9784,0.02871,0.9581,0.8466,0.87804
polynomial-3-0.1,0.9800,0.02275,0.9581,0.8383,0.87923
gaussian-5-10,0.9703,0.02537,0.975,0.7158,0.8017
gaussian-5-1000,0.96955,0.02962,0.9275,0.7033,0.7772
gaussian-20-0.1,0.9003,0.01851,0,0,0
gaussian-0.5-0.1,0.9003,0.01860,0,0,0
gaussian-0.5-10,0.9003,0.01860,0,0,0
gaussian-0.5-1000,0.9003,0.0186000,0,0
gaussian-5-0.1,0.9003,0.01860,0,0,0
