SVM,acc,std(acc),precision,recall,F1 score
polynomial-2-0.1,0.9923,0.0097,0.9823,0.9475,0.9618
polynomial-2-10,0.9925,0.0091,0.9847,0.9454,0.9617
polynomial-2-1000,0.9914,0.0095,0.9776,0.9447,0.9584
polynomial-3-1000,0.9906,0.011,0.9782,0.9342,0.9522
gaussian-20-1000,0.9884,0.0112,0.9667,0.9318,0.9448
gaussian-20-10,0.9891,0.0113,0.9723,0.9298,0.9463
polynomial-3-10,0.9894,0.0131,0.9779,0.921,0.9442
polynomial-3-0.1,0.9895,0.0146,0.9686,0.9193,0.9398
gaussian-5-1000,0.9858,0.0136,0.9961,0.8642,0.9189
gaussian-5-10,0.9861,0.0125,0.9969,0.8626,0.9195
gaussian-5-0.1,0.911,0.0105,0.27,0.1102,0.1456
gaussian-0.5-0.1,0.9001,0.0069,0,0,0
gaussian-20-0.1,0.9001,0.007,0,0,0
gaussian-0.5-10,0.9,0.0071,0,0,0
gaussian-0.5-1000,0.9,0.0071,0,0,0
